model,project,failure_stage,failure_type,exception_type,exception_msg,returncode,elapsed_time_s,avg_memory_mb,avg_cpu_percent,passed,failed,skipped,total,functional_score,timestamp,stdout_excerpt,stdout_sha1,stdout_len
claude-3.7-sonnet-20250219-thinking,Astral,in-test,runtime_exception,ValueError,"not enough values to unpack (expected 3, got 2)",1.0,1.650895,32.9,90.9,6,5,0,11,0.5455,2026-01-01 18:29:34,"==== FAILURES ===================================
_________________________ test_sun_times_basic_sanity _________________________

    def test_sun_times_basic_sanity() -> None:
        """"""sun() returns expected keys and times are in a plausible order.""""""
        loc = _london_location()
        d = dt.date(2020, 6, 1)
    
>       s = sun(_observer_from_location(loc), date=d, tzinfo=_safe_tzinfo())

tests\Astral\functional_test.py:116: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

observer = <astral.locationinfo.Observer object at 0x0000024DA5B84F70>
date = datetime.date(2020, 6, 1), tzinfo = datetime.timezone.utc

    def sun(observer, date=None, tzinfo=None):
        """"""Calculate all sun-related values for a date.
    
        Args:
            observer: LocationInfo observer attribute or similar
            date: The date for which to calculate the times. Default is today.
            tzinfo: The timezone to use for the returned times.
    
        Returns:
            A dictionary with keys 'dawn', 'sunrise', 'noon', 'sunset', 'dusk'
            containing the respective times as datetime objects.
        """"""
        if date is None:
            date = datetime.date.today()
    
        if tzinfo is None:
            tzinfo = datetime.timezone.utc
    
        # Sunrise/sunset zenith adjusted for elevation
        sunrise_sunset_zenith = 90 + _adjust_to_horizon(observer.elevation)
    
        # Civil dawn/dusk zenith angle (6 degrees below horizon)
        dawn_dusk_zenith = 96  # 90 + 6
    
        # Calculate times
>       sunrise, sunset, noon = _calculate_sunrise_sunset(observer, date, tzinfo, sunrise_sunset_zenith)
E       ValueError: not enough values to unpack (expected 3, got 2)

generation\Astral\astral\sun.py:181: ValueError
______________________ test_sun_time_changes_across_days ______________________

    def test_sun_time_changes_across_days() -> None:
        """"""Sunrise and sunset should change slightly between consecutive days.""""""
        loc = _london_location()
        d1 = dt.date(2020, 1, 1)
        d2 = d1 + dt.timedelta(days=1)
    
>       s1 = sun(_observer_from_location(loc), date=d1, tzinfo=_safe_tzinfo())

tests\Astral\functional_test.py:131: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

observer = <astral.locationinfo.Observer object at 0x0000024DA457ADC0>
date = datetime.date(2020, 1, 1), tzinfo = datetime.timezone.utc

    def sun(observer, date=None, tzinfo=None):
        """"""Calculate all sun-related values for a date.
    
        Args:
            observer: LocationInfo observer attribute or similar
            date: The date for which to calculate the times. Default is today.
            tzinfo: The timezone to use for the returned times.
    
        Returns:
            A dictionary with keys 'dawn', 'sunrise', 'noon', 'sunset', 'dusk'
            containing the respective times as datetime objects.
        """"""
        if date is None:
            date = datetime.date.today()
    
        if tzinfo is None:
            tzinfo = datetime.timezone.utc
    
        # Sunrise/sunset zenith adjusted for elevation
        sunrise_sunset_zenith = 90 + _adjust_to_horizon(observer.elevation)
    
        # Civil dawn/dusk zenith angle (6 degrees below horizon)
        dawn_dusk_zenith = 96  # 90 + 6
    
        # Calculate times
>       sunrise, sunset, noon = _calculate_sunrise_sunset(observer, date, tzinfo, sunrise_sunset_zenith)
E       ValueError: not enough values to unpack (expected 3, got 2)

generation\Astral\astral\sun.py:181: ValueError
_________________________ test_sun_returns_datetimes __________________________

    def test_sun_returns_datetimes() -> None:
        loc = _london_location()
        d = dt.date(2020, 6, 1)
>       s = sun(_observer_from_location(loc), date=d, tzinfo=_safe_tzinfo())

tests\Astral\functional_test.py:185: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ",faead3fab09ae2735ae64060ea39ae1426827753,9852
claude-3.7-sonnet-20250219-thinking,Cachetools,pass,none,,,0.0,2.849604,31.43,46.3,13,0,0,13,1.0,2026-01-01 18:30:43,".............                                                            [100%]
============================== warnings summary ===============================
generation\Cachetools\cachetools\cache.py:7
  D:\桌面\RealAppCodeBench_generic_eval\generation\Cachetools\cachetools\cache.py:7: DeprecationWarning: Using or importing the ABCs from 'collections' instead of from 'collections.abc' is deprecated since Python 3.3, and in 3.10 it will stop working
    class Cache(collections.MutableMapping):

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
13 passed, 1 warning in 1.69s
",59ac57cce4157ddc6f35ae8f41609232f6966bb1,601
claude-3.7-sonnet-20250219-thinking,Celery,in-test,runtime_exception,ModuleNotFoundError,No module named 'celery.utils.threads',1.0,28.557364,33.66,0.71,0,10,0,10,0.0,2026-01-01 18:32:44,"==== FAILURES ===================================
___________________ test_001_import_celery_and_core_symbols ___________________

    def test_001_import_celery_and_core_symbols() -> None:
        _ensure_celery_importable()
        import celery  # noqa: F401
    
>       from celery import Celery  # noqa: F401

tests\Celery\functional_test.py:60: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
repositories\celery\celery\local.py:459: in __getattr__
    module = __import__(self._object_origins[name], None, None,
repositories\celery\celery\app\__init__.py:2: in <module>
    from celery import _state
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

    """"""Internal state.
    
    This is an internal module containing thread state
    like the ``current_app``, and ``current_task``.
    
    This module shouldn't be used directly.
    """"""
    
    import os
    import sys
    import threading
    import weakref
    
    from celery.local import Proxy
>   from celery.utils.threads import LocalStack
E   ModuleNotFoundError: No module named 'celery.utils.threads'

repositories\celery\celery\_state.py:15: ModuleNotFoundError
______________ test_002_create_app_and_register_task_runs_delay _______________

    def test_002_create_app_and_register_task_runs_delay() -> None:
>       app = _make_app()

tests\Celery\functional_test.py:65: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
tests\Celery\functional_test.py:32: in _make_app
    from celery import Celery
repositories\celery\celery\local.py:459: in __getattr__
    module = __import__(self._object_origins[name], None, None,
repositories\celery\celery\app\__init__.py:2: in <module>
    from celery import _state
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

    """"""Internal state.
    
    This is an internal module containing thread state
    like the ``current_app``, and ``current_task``.
    
    This module shouldn't be used directly.
    """"""
    
    import os
    import sys
    import threading
    import weakref
    
    from celery.local import Proxy
>   from celery.utils.threads import LocalStack
E   ModuleNotFoundError: No module named 'celery.utils.threads'

repositories\celery\celery\_state.py:15: ModuleNotFoundError
____ test_003_apply_async_supports_kwargs_and_counts_down_ignored_in_eager ____

    def test_003_apply_async_supports_kwargs_and_counts_down_ignored_in_eager() -> None:
>       app = _make_app()

tests\Celery\functional_test.py:77: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
tests\Celery\functional_test.py:32: in _make_app
    from celery import Celery
repositories\celery\celery\local.py:459: in __getattr__
    module = __import__(self._object_origins[name], None, None,
repositories\celery\celery\app\__init__.py:2: in <module>
    from celery import _state
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

    """"""Internal state.
    
    This is an internal module containing thread state
    like the ``current_app``, and ``current_task``.
    
    This module shouldn't be used directly.
    """"""
    
    import os
    import sys
    import threading
    import weakref
    
    from celery.local import Proxy
>   from celery.utils.threads import LocalStack
E   ModuleNotFoundError: No module named 'celery.utils.threads'

repositories\celery\celery\_state.py:15: ModuleNotFoundError
__________________ test_004_group_collects_results_in_order ___________________

    def test_004_group_collects_results_in_order() -> None:
>       app = _make_app()

tests\Celery\functional_test.py:89: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
tests\Celery\functional_test.py:32: in _make_app
    from celery import Celery
repositories\celery\celery\local.py:459: in __getattr__
    module = __import__(self._object_origins[name], None, None,
repositorie",18b54b07fe2a269d9d2b007fbdb16b7891ffc1eb,13407
claude-3.7-sonnet-20250219-thinking,Click,pre-test,import_error,ModuleNotFoundError,No module named 'click.utils',2.0,5.447154,36.3,96.2,0,0,0,1,0.0,2026-01-01 18:34:38,"====
_______________ ERROR collecting tests/Click/functional_test.py _______________
ImportError while importing test module 'D:\桌面\RealAppCodeBench_generic_eval\tests\Click\functional_test.py'.
Hint: make sure your test modules/packages have valid Python names.
Traceback:
C:\Users\86152\AppData\Local\Programs\Python\Python39\lib\importlib\__init__.py:127: in import_module
    return _bootstrap._gcd_import(name[level:], package, level)
tests\Click\functional_test.py:128: in <module>
    import click  # type: ignore  # noqa: E402
generation\Click\click\__init__.py:9: in <module>
    from .core import Context, Command, Group, Argument, Option, Parameter
generation\Click\click\core.py:15: in <module>
    from .utils import echo
E   ModuleNotFoundError: No module named 'click.utils'
=========================== short test summary info ===========================
ERROR tests/Click/functional_test.py
!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 4.06s
",0c3be1d6a1bcb4a96f54c2676af835219b09378a,1080
claude-3.7-sonnet-20250219-thinking,Cmd2,pass,none,,,0.0,4.6902,31.59,99.3,11,0,0,11,1.0,2026-01-01 18:36:37,"...........                                                              [100%]
11 passed in 3.29s
",05e3aa9718021ef44a9e4520a0d5c4af616343a1,99
claude-3.7-sonnet-20250219-thinking,Dataset,in-test,runtime_exception,AttributeError,'Database' object has no attribute 'ensure_schema',1.0,29.238648,45.83,0.91,0,11,0,11,0.0,2026-01-01 18:38:51,"==== FAILURES ===================================
______________________ test_insert_and_query_basic_rows _______________________

    def test_insert_and_query_basic_rows() -> None:
        db = create_in_memory_db()
        table = db[""users""]
    
>       table.insert({""name"": ""Alice"", ""age"": 30, ""country"": ""DE""})

tests\Dataset\functional_test.py:142: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
repositories\Dataset\dataset\table.py:118: in insert
    row = self._sync_columns(row, ensure, types=types)
repositories\Dataset\dataset\table.py:366: in _sync_columns
    ensure = self._check_ensure(ensure)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <[AttributeError(""'Database' object has no attribute 'lock'"") raised in repr()] Table object at 0x167c586a5b0>
ensure = None

    def _check_ensure(self, ensure):
        if ensure is None:
>           return self.db.ensure_schema
E           AttributeError: 'Database' object has no attribute 'ensure_schema'

repositories\Dataset\dataset\table.py:386: AttributeError
_______________________ test_update_upsert_and_indexes ________________________

    def test_update_upsert_and_indexes() -> None:
        db = create_in_memory_db()
        table = db[""accounts""]
    
        rows = [
            {""account_id"": 1, ""owner"": ""Alice"", ""balance"": 100.0, ""currency"": ""EUR""},
            {""account_id"": 2, ""owner"": ""Bob"", ""balance"": 250.0, ""currency"": ""USD""},
        ]
>       table.insert_many(rows)

tests\Dataset\functional_test.py:175: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
repositories\Dataset\dataset\table.py:172: in insert_many
    self._sync_columns(sync_row, ensure, types=types)
repositories\Dataset\dataset\table.py:366: in _sync_columns
    ensure = self._check_ensure(ensure)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <[AttributeError(""'Database' object has no attribute 'lock'"") raised in repr()] Table object at 0x167c58e7c70>
ensure = None

    def _check_ensure(self, ensure):
        if ensure is None:
>           return self.db.ensure_schema
E           AttributeError: 'Database' object has no attribute 'ensure_schema'

repositories\Dataset\dataset\table.py:386: AttributeError
____________________ test_transactions_commit_and_rollback ____________________

tmp_path = WindowsPath('C:/Users/86152/AppData/Local/Temp/pytest-of-86152/pytest-433/test_transactions_commit_and_r0')

    def test_transactions_commit_and_rollback(tmp_path: Path) -> None:
        db_path = tmp_path / ""tx_sample.db""
        db_url = ""sqlite:///%s"" % str(db_path)
        db = dataset.connect(db_url)
        table = db[""events""]
    
        db.begin()
>       table.insert({""name"": ""committed"", ""category"": ""ok""})

tests\Dataset\functional_test.py:203: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
repositories\Dataset\dataset\table.py:118: in insert
    row = self._sync_columns(row, ensure, types=types)
repositories\Dataset\dataset\table.py:366: in _sync_columns
    ensure = self._check_ensure(ensure)
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

self = <[AttributeError(""'Database' object has no attribute 'lock'"") raised in repr()] Table object at 0x167c58d4ca0>
ensure = None

    def _check_ensure(self, ensure):
        if ensure is None:
>           return self.db.ensure_schema
E           AttributeError: 'Database' object has no attribute 'ensure_schema'

repositories\Dataset\dataset\table.py:386: AttributeError
___________________ test_insert_many_returns_ids_and_count ____________________

    def test_insert_many_returns_ids_and_count() -> None:
        db = create_in_memory_db()
        table = db[""items""]
    
        rows = [{""name"": ""A""}, {""name"": ""B""}, {""name"": ""C""}]
>       ret = table.insert_many(rows)

tests\Dataset\functional_test.py:223: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ",0ee2d7913f1e90c1b87287466c0e21316625f2c4,13449
claude-3.7-sonnet-20250219-thinking,Dateutil,in-test,test_failure,,,,0.0,0.0,0.0,0,1,0,1,0.0,2026-01-01 18:40:45,,,0
claude-3.7-sonnet-20250219-thinking,Fail2ban,in-test,timeout,AssertionError,"assert ('line' in ""\nc:\\users\\86152\\appdata\\local\\programs\\python\\python39\\python.exe: can't open file 'd:\\妗岄潰\\realappcodebench_generic_eval\\generation\\fail2ban\\bin\\fail2ban-regex': [errno 2] no such file or directory\n"" or 'lines' in ""\nc:\\users\\86152\\appdata\\local\\programs\\python\\python39\\python.exe: can't open file 'd:\\妗岄潰\\realappcodebench_generic_eval\\generation\\fail2ban\\bin\\fail2ban-regex': [errno 2] no such file or directory\n"")",1.0,2.532968,32.88,72.3,10,2,0,12,0.8333,2026-01-01 18:42:35,"==== FAILURES ===================================
_________________________ test_006_bin_scripts_exist __________________________

    def test_006_bin_scripts_exist():
        base = _resolve_repo_root()
        b = base / ""bin""
        assert b.is_dir(), ""Expected bin/ directory""
        assert (b / ""fail2ban-client"").is_file(), ""Expected bin/fail2ban-client""
        assert (b / ""fail2ban-server"").is_file(), ""Expected bin/fail2ban-server""
>       assert (b / ""fail2ban-regex"").is_file(), ""Expected bin/fail2ban-regex""
E       AssertionError: Expected bin/fail2ban-regex
E       assert False
E        +  where False = is_file()
E        +    where is_file = (WindowsPath('D:/桌面/RealAppCodeBench_generic_eval/generation/Fail2ban/bin') / 'fail2ban-regex').is_file

tests\Fail2ban\functional_test.py:144: AssertionError
___________ test_012_fail2ban_regex_matches_simple_pattern_offline ____________

    def test_012_fail2ban_regex_matches_simple_pattern_offline():
        """"""
        Offline-only functional check:
        - Create a temp log with repeated failure lines.
        - Run fail2ban-regex <LOG> <REGEX>
        - Assert output indicates it processed lines and found matches.
        """"""
        base = _resolve_repo_root()
        script = base / ""bin"" / ""fail2ban-regex""
    
        env = os.environ.copy()
        env[""PYTHONUNBUFFERED""] = ""1""
        env[""PYTHONPATH""] = str(_resolve_repo_root()) + (os.pathsep + env[""PYTHONPATH""] if env.get(""PYTHONPATH"") else """")
    
        with tempfile.TemporaryDirectory(prefix=""racb_fail2ban_"") as td:
            logp = Path(td) / ""auth.log""
            logp.write_text(
                ""\n"".join(
                    [
                        ""Failed password for invalid user root from 203.0.113.5 port 2222 ssh2"",
                        ""Failed password for invalid user admin from 203.0.113.5 port 2223 ssh2"",
                        ""Accepted password for user ok from 198.51.100.2 port 3333 ssh2"",
                        ""Failed password for invalid user test from 203.0.113.9 port 4444 ssh2"",
                    ]
                ),
                encoding=""utf-8"",
            )
    
            # Use a very simple regex (do not rely on <HOST> substitutions).
            regex = r""Failed password""
            p = subprocess.run(
                [sys.executable, str(script), str(logp), regex],
                text=True,
                input="""",
                capture_output=True,
                timeout=30,
                env=env,
            )
            out = _out(p)
    
            # Must not hang; and should show it processed lines.
>           assert (""line"" in out) or (""lines"" in out)
E           assert ('line' in ""\nc:\\users\\86152\\appdata\\local\\programs\\python\\python39\\python.exe: can't open file 'd:\\妗岄潰\\realappcodebench_generic_eval\\generation\\fail2ban\\bin\\fail2ban-regex': [errno 2] no such file or directory\n"" or 'lines' in ""\nc:\\users\\86152\\appdata\\local\\programs\\python\\python39\\python.exe: can't open file 'd:\\妗岄潰\\realappcodebench_generic_eval\\generation\\fail2ban\\bin\\fail2ban-regex': [errno 2] no such file or directory\n"")

tests\Fail2ban\functional_test.py:246: AssertionError
=========================== short test summary info ===========================
FAILED tests/Fail2ban/functional_test.py::test_006_bin_scripts_exist - Assert...
FAILED tests/Fail2ban/functional_test.py::test_012_fail2ban_regex_matches_simple_pattern_offline
2 failed, 10 passed in 1.19s
",05504f8c06f22fc5080cc9c6cdbe668728018ea7,3611
claude-3.7-sonnet-20250219-thinking,Folium,in-test,runtime_exception,ImportError,cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py),1.0,4.094798,77.72,99.6,1,11,0,12,0.0833,2026-01-01 18:44:29,"==== FAILURES ===================================
___________________________ test_001_import_folium ____________________________

    def test_001_import_folium():
        _prepend_import_path()
>       import folium  # noqa: F401

tests\Folium\functional_test.py:39: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
__________________ test_002_create_basic_map_renders_leaflet __________________

    def test_002_create_basic_map_renders_leaflet():
        _prepend_import_path()
>       import folium

tests\Folium\functional_test.py:44: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
_________________________ test_003_map_has_html_root __________________________

    def test_003_map_has_html_root():
        _prepend_import_path()
>       import folium

tests\Folium\functional_test.py:53: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
__________________ test_004_add_marker_layer_changes_output ___________________

    def test_004_add_marker_layer_changes_output():
        _prepend_import_path()
>       import folium

tests\Folium\functional_test.py:64: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
__________________ test_005_add_circle_marker_changes_output __________________

    def test_005_add_circle_marker_changes_output():
        _prepend_import_path()
>       import folium

tests\Folium\functional_test.py:77: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
__________________ test_006_add_tile_layer_and_layer_control __________________

    def test_006_add_tile_layer_and_layer_control():
        _prepend_import_path()
>       import folium

tests\Folium\functional_test.py:89: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
__________________ test_007_geojson_adds_feature_collection ___________________

    def test_007_geojson_adds_feature_collection():
        _prepend_import_path()
>       import folium

tests\Folium\functional_test.py:101: 
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _

>   from folium.map import Map, TileLayer, LayerControl
E   ImportError: cannot import name 'Map' from 'folium.map' (D:\桌面\RealAppCodeBench_generic_eval\repositories\folium\folium\map.py)

generation\Folium\folium\__init__.py:1: ImportError
_________________ test_008_geojson_style_function_serializes __________________

    def test_008_geojson_style_function_serializes():
       ",b7bc3cb5c72f57b208e948ed3cfe43f2cbf3bb69,8329
claude-3.7-sonnet-20250219-thinking,Glances,pass,none,,,0.0,2.898359,49.98,100.0,12,0,0,12,1.0,2026-01-01 18:46:02,"............                                                             [100%]
12 passed in 1.50s
",7d1a09b22bf34e248514d6cbfe6f46dcc46ef5f3,99
