model,Executability & Environment,Functional Correctness,Runtime Robustness & Efficiency
claude-3.7-sonnet-20250219-thinking,18.75,31.25,50.0
claude-4.5-haiku,17.1429,48.5714,34.2857
claude-4.5-sonnet,16.6667,43.3333,40.0
deepseek-r1,15.0,30.0,55.0
deepseek-v3,17.8571,42.8571,39.2857
deepseek-v3.2,23.3333,30.0,46.6667
gemini-2.5-pro,17.6471,29.4118,52.9412
gemini-2.5-pro-thinking,14.8148,48.1481,37.037
gemini-3-pro-preview,12.5,37.5,50.0
gpt-3.5-turbo,14.7059,44.1176,41.1765
gpt-4-turbo,16.129,38.7097,45.1613
gpt-4o-2024-11-20,15.1515,33.3333,51.5152
gpt-5-2025-08-07,19.3548,32.2581,48.3871
gpt-5.2,17.2414,44.8276,37.931
o1,20.0,46.6667,33.3333
o3,17.1429,31.4286,51.4286
