model,assertion_failure,runtime_exception,import_error,unknown_failure,test_failure,timeout,collection_error,syntax_error,test_error
claude-3.7-sonnet-20250219-thinking,8,10,6,4,2,2,0,0,0
claude-4.5-haiku,14,7,4,3,3,2,1,1,0
claude-4.5-sonnet,11,9,3,2,2,1,2,0,0
deepseek-r1,4,6,3,4,2,1,0,0,0
deepseek-v3,10,7,4,2,3,1,1,0,0
deepseek-v3.2,7,7,6,6,2,1,1,0,0
gemini-2.5-pro,5,7,3,1,0,1,0,0,0
gemini-2.5-pro-thinking,12,9,2,1,1,0,1,1,0
gemini-3-pro-preview,7,10,2,1,2,1,1,0,0
gpt-3.5-turbo,13,11,4,2,2,1,1,0,0
gpt-4-turbo,9,9,4,4,3,1,1,0,0
gpt-4o-2024-11-20,9,9,4,5,3,2,0,1,0
gpt-5-2025-08-07,9,9,3,5,2,0,3,0,0
gpt-5.2,11,8,2,2,2,1,2,1,0
o1,13,5,5,4,1,1,1,0,0
o3,10,12,3,3,2,1,2,1,1
