model,assertion_failure,runtime_exception,import_error,unknown_failure,test_failure,timeout,collection_error,syntax_error,test_error
claude-3.7-sonnet-20250219-thinking,25.0,31.25,18.75,12.5,6.25,6.25,0.0,0.0,0.0
claude-4.5-haiku,40.0,20.0,11.428571428571429,8.571428571428571,8.571428571428571,5.714285714285714,2.857142857142857,2.857142857142857,0.0
claude-4.5-sonnet,36.666666666666664,30.0,10.0,6.666666666666667,6.666666666666667,3.3333333333333335,6.666666666666667,0.0,0.0
deepseek-r1,20.0,30.0,15.0,20.0,10.0,5.0,0.0,0.0,0.0
deepseek-v3,35.714285714285715,25.0,14.285714285714285,7.142857142857142,10.714285714285714,3.571428571428571,3.571428571428571,0.0,0.0
deepseek-v3.2,23.333333333333332,23.333333333333332,20.0,20.0,6.666666666666667,3.3333333333333335,3.3333333333333335,0.0,0.0
gemini-2.5-pro,29.411764705882355,41.17647058823529,17.647058823529413,5.88235294117647,0.0,5.88235294117647,0.0,0.0,0.0
gemini-2.5-pro-thinking,44.44444444444444,33.33333333333333,7.4074074074074066,3.7037037037037033,3.7037037037037033,0.0,3.7037037037037033,3.7037037037037033,0.0
gemini-3-pro-preview,29.166666666666668,41.66666666666667,8.333333333333332,4.166666666666666,8.333333333333332,4.166666666666666,4.166666666666666,0.0,0.0
gpt-3.5-turbo,38.23529411764706,32.35294117647059,11.76470588235294,5.88235294117647,5.88235294117647,2.941176470588235,2.941176470588235,0.0,0.0
gpt-4-turbo,29.03225806451613,29.03225806451613,12.903225806451612,12.903225806451612,9.67741935483871,3.225806451612903,3.225806451612903,0.0,0.0
gpt-4o-2024-11-20,27.27272727272727,27.27272727272727,12.121212121212121,15.151515151515152,9.090909090909092,6.0606060606060606,0.0,3.0303030303030303,0.0
gpt-5-2025-08-07,29.03225806451613,29.03225806451613,9.67741935483871,16.129032258064516,6.451612903225806,0.0,9.67741935483871,0.0,0.0
gpt-5.2,37.93103448275862,27.586206896551722,6.896551724137931,6.896551724137931,6.896551724137931,3.4482758620689653,6.896551724137931,3.4482758620689653,0.0
o1,43.333333333333336,16.666666666666664,16.666666666666664,13.333333333333334,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,0.0
o3,28.57142857142857,34.285714285714285,8.571428571428571,8.571428571428571,5.714285714285714,2.857142857142857,5.714285714285714,2.857142857142857,2.857142857142857
