T,E,group
6,1,control
7,1,control
9,1,control
10,0,control
13,1,control
16,0,control
19,1,control
21,1,control
23,0,control
24,1,control
26,0,control
30,1,control
32,0,control
35,1,control
38,0,control
40,1,control
42,1,control
45,0,control
48,1,control
50,0,control
6,0,miR-137
8,1,miR-137
11,0,miR-137
12,1,miR-137
15,0,miR-137
18,1,miR-137
20,0,miR-137
22,1,miR-137
25,0,miR-137
28,1,miR-137
31,0,miR-137
34,1,miR-137
36,0,miR-137
39,1,miR-137
41,0,miR-137
44,1,miR-137
47,0,miR-137
49,0,miR-137
52,0,miR-137
55,0,miR-137
