phase,project,model,run,functional_score,non_functional_score,maintainability,security,robustness,performance,resource,perf_elapsed_time_s,avg_memory_mb,avg_cpu_percent,high_risk_count,mi_min,robust_passed,robust_total,repo_path,task_yaml,package_name
reruns,Astral,gpt-5.2,1,1.0,0.9004,0.8943,1.0,0.6667,0.937,0.9947,1.290468,33.71,97.5,0,0.0,2,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gpt-5.2,2,1.0,0.8851,0.8943,1.0,0.6667,0.8037,1.0,1.504475,33.31,98.9,0,0.0,2,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gpt-5.2,3,1.0,0.8847,0.8943,1.0,0.6667,0.8008,1.0,1.50985,33.17,94.5,0,0.0,2,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gpt-5.2,4,1.0,0.8961,0.8943,1.0,0.6667,0.902,0.9938,1.340469,33.77,98.8,0,0.0,2,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gpt-5.2,5,1.0,0.893,0.8943,1.0,0.6667,0.8696,1.0,1.390454,33.12,96.4,0,0.0,2,3,D:\桌面\RAL-Bench\generation\gpt-5.2\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gemini-3-pro-preview,1,1.0,0.7314,0.9206,1.0,1.0,0.0,0.0,1.581041,34.56,98.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gemini-3-pro-preview,2,1.0,0.7314,0.9206,1.0,1.0,0.0,0.0,1.574211,33.97,98.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gemini-3-pro-preview,3,1.0,0.7314,0.9206,1.0,1.0,0.0,0.0,1.69271,33.48,100.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gemini-3-pro-preview,4,1.0,0.7314,0.9206,1.0,1.0,0.0,0.0,1.558108,34.01,102.8,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,gemini-3-pro-preview,5,1.0,0.7314,0.9206,1.0,1.0,0.0,0.0,1.571561,34.5,101.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,claude-4.5-sonnet,1,1.0,0.9293,0.9049,1.0,1.0,0.7018,0.9945,1.722958,33.72,100.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,claude-4.5-sonnet,2,1.0,0.9299,0.9049,1.0,1.0,0.7009,1.0,1.725194,33.28,101.9,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,claude-4.5-sonnet,3,1.0,0.9285,0.9049,1.0,1.0,0.6895,1.0,1.753576,33.28,100.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,claude-4.5-sonnet,4,1.0,0.9361,0.9049,1.0,1.0,0.7525,1.0,1.606723,33.26,99.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Astral,claude-4.5-sonnet,5,1.0,0.9363,0.9049,1.0,1.0,0.76,0.9947,1.591056,33.71,101.0,0,0.0,3,3,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Astral,D:\桌面\RAL-Bench\tasks\Astral\astral.yaml,astral
reruns,Cachetools,gpt-5.2,1,0.0,0.4935,0.7041,1.0,0.0,0.0,0.0,1.744066,35.52,99.0,0,0.0,0,11,D:\桌面\RAL-Bench\generation\gpt-5.2\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gpt-5.2,2,0.0,0.4935,0.7041,1.0,0.0,0.0,0.0,1.694861,35.74,98.1,0,0.0,0,11,D:\桌面\RAL-Bench\generation\gpt-5.2\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gpt-5.2,3,0.0,0.4935,0.7041,1.0,0.0,0.0,0.0,1.680616,35.27,101.0,0,0.0,0,11,D:\桌面\RAL-Bench\generation\gpt-5.2\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gpt-5.2,4,0.0,0.4935,0.7041,1.0,0.0,0.0,0.0,1.680978,36.24,99.9,0,0.0,0,11,D:\桌面\RAL-Bench\generation\gpt-5.2\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gpt-5.2,5,0.0,0.4935,0.7041,1.0,0.0,0.0,0.0,1.687259,35.02,96.2,0,0.0,0,11,D:\桌面\RAL-Bench\generation\gpt-5.2\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gemini-3-pro-preview,1,0.9231,0.887,0.8036,1.0,0.8182,0.8952,0.9944,1.393433,31.42,94.4,0,0.0,9,11,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gemini-3-pro-preview,2,0.9231,0.8963,0.8036,1.0,0.8182,0.9693,0.9982,1.286823,31.18,97.7,0,0.0,9,11,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gemini-3-pro-preview,3,0.9231,0.8958,0.8036,1.0,0.8182,0.9709,0.9924,1.284793,31.55,96.5,0,0.0,9,11,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gemini-3-pro-preview,4,0.9231,0.8932,0.8036,1.0,0.8182,0.9512,0.9905,1.31138,31.64,98.8,0,0.0,9,11,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,gemini-3-pro-preview,5,0.9231,0.8971,0.8036,1.0,0.8182,0.9805,0.9933,1.272115,31.08,100.0,0,0.0,9,11,D:\桌面\RAL-Bench\generation\gemini-3-pro-preview\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,claude-4.5-sonnet,1,0.0,0.5167,0.7687,1.0,0.0,0.0,0.0,1.662287,35.76,99.1,0,0.0,0,11,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,claude-4.5-sonnet,2,0.0,0.5167,0.7687,1.0,0.0,0.0,0.0,1.704364,35.23,99.1,0,0.0,0,11,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,claude-4.5-sonnet,3,0.0,0.5167,0.7687,1.0,0.0,0.0,0.0,1.706573,36.08,99.1,0,0.0,0,11,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,claude-4.5-sonnet,4,0.0,0.5167,0.7687,1.0,0.0,0.0,0.0,1.697474,36.44,96.3,0,0.0,0,11,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Cachetools,claude-4.5-sonnet,5,0.0,0.5167,0.7687,1.0,0.0,0.0,0.0,1.679644,35.75,98.2,0,0.0,0,11,D:\桌面\RAL-Bench\generation\claude-4.5-sonnet\Cachetools,D:\桌面\RAL-Bench\tasks\Cachetools\cachetools.yaml,cachetools
reruns,Celery,gpt-5.2,1,0.5,0.4662,0.0,1.0,0.6667,0.0,0.996,1.656128,31.88,100.0,0,0.0,4,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gpt-5.2,2,0.5,0.4662,0.0,1.0,0.6667,0.0,0.996,1.613998,31.75,100.0,0,0.0,4,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gpt-5.2,3,0.5,0.4662,0.0,1.0,0.6667,0.0,0.996,1.585233,31.39,100.0,0,0.0,4,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gpt-5.2,4,0.5,0.4667,0.0,1.0,0.6667,0.0,1.0,1.62299,31.91,97.4,0,0.0,4,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
reruns,Celery,gpt-5.2,5,0.5,0.4657,0.0,1.0,0.6667,0.0,0.9921,1.626198,31.38,100.8,0,0.0,4,6,D:\桌面\RAL-Bench\generation\gpt-5.2\Celery,D:\桌面\RAL-Bench\tasks\Celery\celery.yaml,celery
