phase,project,model,reruns,functional_score_mean,functional_score_std,functional_score_cv,functional_score_p05,functional_score_p95,non_functional_score_mean,non_functional_score_std,non_functional_score_cv,non_functional_score_p05,non_functional_score_p95,maintainability_mean,maintainability_std,maintainability_cv,maintainability_p05,maintainability_p95,security_mean,security_std,security_cv,security_p05,security_p95,robustness_mean,robustness_std,robustness_cv,robustness_p05,robustness_p95,performance_mean,performance_std,performance_cv,performance_p05,performance_p95,resource_mean,resource_std,resource_cv,resource_p05,resource_p95,perf_elapsed_time_s_mean,perf_elapsed_time_s_std,perf_elapsed_time_s_cv,perf_elapsed_time_s_p05,perf_elapsed_time_s_p95,avg_memory_mb_mean,avg_memory_mb_std,avg_memory_mb_cv,avg_memory_mb_p05,avg_memory_mb_p95,avg_cpu_percent_mean,avg_cpu_percent_std,avg_cpu_percent_cv,avg_cpu_percent_p05,avg_cpu_percent_p95,mi_min_mean,mi_min_std,mi_min_cv,mi_min_p05,mi_min_p95
reruns,Astral,gpt-5.2,5,1.0,0.0,0.0,1.0,1.0,0.89186,0.006150967403587815,0.006896785822424837,0.88478,0.89954,0.8943,0.0,0.0,0.8943,0.8943,1.0,0.0,0.0,1.0,1.0,0.6667,0.0,0.0,0.6667,0.6667,0.86262,0.053712508785198294,0.062266709310238914,0.80138,0.93,0.9977,0.0028312541390698117,0.00283778103545135,0.99398,1.0,1.4071432,0.08758909372153591,0.0622460412853048,1.3004681999999999,1.508775,33.416000000000004,0.27244081926172625,0.008153005125141435,33.129999999999995,33.758,97.22,1.6412190591142914,0.01688149618508837,94.88,98.88000000000001,0.0,0.0,0.0,0.0,0.0
reruns,Astral,gemini-3-pro-preview,5,1.0,0.0,0.0,1.0,1.0,0.7314,0.0,0.0,0.7314,0.7314,0.9206,0.0,0.0,0.9206,0.9206,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5955262,0.04915954079281048,0.030810864022671944,1.5607986,1.6703762,34.104,0.3952012145730341,0.011588119123065743,33.577999999999996,34.548,99.96,1.8347751905887535,0.018355093943464924,98.0,102.44,0.0,0.0,0.0,0.0,0.0
reruns,Astral,claude-4.5-sonnet,5,1.0,0.0,0.0,1.0,1.0,0.93202,0.003442324795832047,0.0036934022830326036,0.92866,0.93626,0.9049,0.0,0.0,0.9049,0.9049,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.72094,0.029251092287297577,0.04057354604724051,0.69178,0.7585,0.9978400000000001,0.0026462048295624995,0.0026519330048529817,0.9945400000000001,1.0,1.6799013999999999,0.06720389933805924,0.04000466892762828,1.5941894,1.7478996,33.45,0.21651789764358964,0.006472881842857687,33.263999999999996,33.717999999999996,100.38,0.9887365675446638,0.009849935918954611,99.2,101.72,0.0,0.0,0.0,0.0,0.0
reruns,Cachetools,gpt-5.2,5,0.0,0.0,0.0,0.0,0.0,0.4935,0.0,0.0,0.4935,0.4935,0.7041,0.0,0.0,0.7041,0.7041,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697556,0.02382546964070166,0.01403515974772064,1.6806884000000002,1.734225,35.558,0.41763141644277624,0.01174507611347028,35.07,36.14,98.84,1.632911510156016,0.016520755869648077,96.58,100.78,0.0,0.0,0.0,0.0,0.0
reruns,Cachetools,gemini-3-pro-preview,5,0.9231,0.0,0.0,0.9231,0.9231,0.89388,0.0036798913027425145,0.004116762096413964,0.88824,0.89694,0.8036,0.0,0.0,0.8036,0.8036,1.0,0.0,0.0,1.0,1.0,0.8182,0.0,0.0,0.8182,0.8182,0.95342,0.030612245915646253,0.03210782857045819,0.9064,0.97858,0.99376,0.0025617181734140697,0.0025778036683042887,0.99088,0.99744,1.3097088000000001,0.04375016641065488,0.03340449908457122,1.2746506000000002,1.3770224,31.374,0.21350409832132114,0.00680512839680376,31.099999999999998,31.622,97.48,1.9281078807992025,0.019779522782100968,94.82000000000001,99.76,0.0,0.0,0.0,0.0,0.0
reruns,Cachetools,claude-4.5-sonnet,5,0.0,0.0,0.0,0.0,0.0,0.5167,0.0,0.0,0.5167,0.5167,0.7687,0.0,0.0,0.7687,0.7687,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6900684,0.01680525639911509,0.009943536249251858,1.6657584,1.7061312,35.852,0.40086905592724437,0.011181218786322783,35.333999999999996,36.367999999999995,98.36,1.0873821775254537,0.011055125839014373,96.67999999999999,99.1,0.0,0.0,0.0,0.0,0.0
reruns,Celery,gpt-5.2,5,0.5,0.0,0.0,0.5,0.5,0.4662,0.0003162277660168382,0.0006783092364153544,0.4658,0.4666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.6667,0.0,0.0,0.6667,0.6667,0.0,0.0,0.0,0.0,0.0,0.99602,0.002498319435140356,0.0025083024790068034,0.99288,0.9992,1.6209094,0.02277376095070821,0.014049990055402363,1.590986,1.650142,31.662,0.23249946236496974,0.007343170436642339,31.381999999999998,31.904,99.64,1.1620671237067133,0.011662656801552722,97.92,100.64,0.0,0.0,0.0,0.0,0.0
reruns,Celery,gemini-3-pro-preview,5,1.0,0.0,0.0,1.0,1.0,0.62904,0.0011926441212700132,0.0018959750115573146,0.62766,0.6304599999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.91132,0.008589621644752455,0.009425472550533791,0.90212,0.92254,0.99736,0.00206552656724622,0.002070993991383472,0.9944000000000001,0.99966,4.1361354,0.03892041940986774,0.009409851382009338,4.0854808,4.17792,44.467999999999996,0.31801886736481527,0.007151634149609051,43.99,44.754,98.66,0.5953150426454892,0.006034006108306195,97.89999999999999,99.42,0.0,0.0,0.0,0.0,0.0
reruns,Celery,claude-4.5-sonnet,5,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.24,0.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5777254,0.025584758952157463,0.016216230626798212,1.548964,1.6128786000000002,32.084,0.25350345165302995,0.007901242103635143,31.862,32.468,98.54,2.203270296627267,0.022359146505249308,96.8,101.76,0.0,0.0,0.0,0.0,0.0
reruns,Click,gpt-5.2,5,1.0,0.0,0.0,1.0,1.0,0.4,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8193744,0.06017410699827631,0.033074064908397253,1.7510728,1.9031668000000002,38.07,0.35659500837785124,0.009366824491143977,37.602,38.47,99.02,1.8701871564097525,0.01888696380942994,96.58,101.44,0.0,0.0,0.0,0.0,0.0
